bc_num,coll_code,HW,HL,SL,EL,FL,ML,PL,PPL,GL,CI,EI,SI,FLI,WL,TL,caste,species,country,comment
USNMENT00752578,HDFL12052010-14,0.836,0.699,0.821,0.304,0.334,1.763,0.334,0.243,1.58,119.5994,43.4907,98.2057,39.9522,0.577,4.619,male,mikromelanos,Panama,none
USNMENT00752576,HDFL12052010-14,0.821,0.699,0.79,0.288,0.302,1.671,0.365,0.243,1.246,117.4535,41.2017,96.2241,36.7844,0.608,4.224,male,mikromelanos,Panama,none
640360,KG110520-03,0.845,0.676,0.873,0.282,0.31,1.774,0.394,0.253,1.38,125,41.716,103.3136,36.6864,0.647,4.477,male,mikromelanos,Panama,none
640361,KG110520-03,0.831,0.704,0.817,0.282,0.31,1.83,0.366,0.253,1.38,118.0398,40.0568,98.3153,37.3045,0.619,4.533,male,mikromelanos,Panama,none
640314,KG110512-01,1.653,1.356,1.243,0.396,1.046,2.515,0.791,0.367,1.964,121.9027,29.2035,75.1966,63.2789,1.158,6.993,gyne,zeteki,Panama,none
640315,KG110512-01,1.639,1.371,1.215,0.396,1.046,2.543,0.82,0.396,1.95,119.5478,28.884,74.1306,63.8194,1.216,7.08,gyne,zeteki,Panama,none
640316,KG110512-01,1.639,1.356,1.215,0.396,1.017,2.487,0.763,0.41,1.978,120.8702,29.2035,74.1306,62.05,1.173,6.994,gyne,zeteki,Panama,none
640317,KG110512-01,1.611,1.356,1.187,0.367,1.017,2.459,0.721,0.424,1.865,118.8053,27.0649,73.6809,63.1285,1.145,6.825,gyne,zeteki,Panama,none
640318,KG110512-01,1.667,1.371,1.243,0.396,1.074,2.487,0.82,0.382,1.978,121.5901,28.884,74.5651,64.4271,1.202,7.038,gyne,zeteki,Panama,none
640328,KG110515-03,1.661,1.38,1.239,0.366,1.098,2.506,0.845,0.394,1.971,120.3623,26.5217,74.5936,66.1048,1.239,7.096,gyne,zeteki,Panama,none
640329,KG110515-03,1.647,1.352,1.211,0.366,1.042,2.478,0.662,0.366,1.887,121.8195,27.071,73.5276,63.2665,1.028,6.745,gyne,zeteki,Panama,none
640330,KG110515-03,1.633,1.352,1.183,0.366,1.07,2.478,0.788,0.394,1.943,120.784,27.071,72.4434,65.5236,1.182,6.955,gyne,zeteki,Panama,none
640331,KG110515-03,1.633,1.38,1.239,0.366,1.098,2.394,0.817,0.366,1.971,118.3333,26.5217,75.8726,67.2382,1.183,6.928,gyne,zeteki,Panama,none
640332,KG110515-03,1.563,1.295,1.155,0.366,1.042,2.309,0.76,0.338,1.887,120.695,28.2625,73.8964,66.6667,1.098,6.589,gyne,zeteki,Panama,none
640363,KG110510-01,1.633,1.38,1.211,0.366,1.042,2.45,0.873,0.366,1.999,118.3333,26.5217,74.158,63.8089,1.239,7.068,gyne,zeteki,Panama,none
640364,RMMA110515-01,1.633,1.408,1.211,0.366,1.07,2.478,0.845,0.352,1.999,115.9801,25.9943,74.158,65.5236,1.197,7.082,gyne,zeteki,Panama,none
640365,KG110520-14,1.633,1.38,1.183,0.352,1.07,2.45,0.62,0.366,2.028,118.3333,25.5072,72.4434,65.5236,0.986,6.844,gyne,zeteki,Panama,none
640366,KG110515-01A,1.661,1.352,1.183,0.366,1.042,2.478,0.676,0.366,2.084,122.855,27.071,71.2222,62.7333,1.042,6.956,gyne,zeteki,Panama,none
640371,KG110512-01A,1.676,1.408,1.239,0.366,1.098,2.506,0.704,0.394,1.971,119.0341,25.9943,73.926,65.5131,1.098,6.983,gyne,zeteki,Panama,none
640372,KG110512-01A,1.661,1.408,1.239,0.366,1.07,2.478,0.732,0.366,2.028,117.9688,25.9943,74.5936,64.419,1.098,7.012,gyne,zeteki,Panama,none
640373,KG110512-01A,1.633,1.352,1.239,0.366,1.07,2.534,0.648,0.422,2.028,120.784,27.071,75.8726,65.5236,1.07,6.984,gyne,zeteki,Panama,none
640374,KG110512-01A,1.605,1.267,1.183,0.366,1.014,2.422,0.704,0.422,1.971,126.6772,28.8871,73.7072,63.1776,1.126,6.786,gyne,zeteki,Panama,none
640382,KG110515-01,1.661,1.38,1.211,0.394,1.07,2.478,0.817,0.422,1.971,120.3623,28.5507,72.9079,64.419,1.239,7.068,gyne,zeteki,Panama,none
640383,KG110515-01,1.69,1.408,1.211,0.394,1.098,2.506,0.845,0.422,1.971,120.0284,27.983,71.6568,64.9704,1.267,7.152,gyne,zeteki,Panama,none
640384,KG110515-01,1.661,1.352,1.211,0.394,1.07,2.506,0.873,0.38,1.957,122.855,29.142,72.9079,64.419,1.253,7.068,gyne,zeteki,Panama,none
640385,KG110515-01,1.661,1.38,1.239,0.394,1.07,2.506,0.873,0.366,1.999,120.3623,28.5507,74.5936,64.419,1.239,7.124,gyne,zeteki,Panama,none
640386,KG110515-01,1.661,1.38,1.211,0.394,1.07,2.534,0.831,0.394,1.971,120.3623,28.5507,72.9079,64.419,1.225,7.11,gyne,zeteki,Panama,none
INB0003662402,JTL7,1.462,1.258,1.11,0.333,0.925,2.272,0.539,0.347,1.656,116.2162,26.4706,75.9234,63.2695,0.886,6.072,gyne,zeteki,Panama,none
640342,KG110515-09,1.295,1.126,1.014,0.253,0.817,1.999,0.591,0.338,1.605,115.0089,22.4689,78.3012,63.0888,0.929,5.659,gyne,mikromelanos,Costa Rica,none
640343,KG110515-09,1.267,1.112,1.014,0.253,0.817,2.056,0.535,0.282,1.549,113.9388,22.7518,80.0316,64.483,0.817,5.534,gyne,mikromelanos,Panama,none
640344,KG110515-09,1.267,1.126,1.07,0.253,0.817,1.999,0.704,0.31,1.549,112.5222,22.4689,84.4515,64.483,1.014,5.688,gyne,mikromelanos,Panama,none
